"Hit Record Unique ID","URL to article/Tweet","Source","Location","Hit Type","Passed through tags","Associated Publisher","Referring Hit Record Unique ID","Authors","Plain Text of Article or Tweet","Date","Mentions","Hashtags","Found URL"
1320790840445440001,"https://twitter.com/a_zionist/status/1320790840445440001","@a_zionist","","Twitter Handle","Twitter Journalists","","","(((A. Zionist)))","🚨ANTISEMITE ALERT 🚨  Only a Jew hater with a 🤯 believes such lies!  Aswari publishes #FakeNews on her website - the Medieval Jews use blood to make matzah libel  Your pee brain 🧠 is filled with 💩 from the antisemitic sewer ie corrupt, thieving Palestinian Authority say Arabs","2020-10-26","[]","['fakenews']","[]"
1320789781006221314,"https://twitter.com/a_zionist/status/1320789781006221314","@a_zionist","","Twitter Handle","Twitter Journalists","","","(((A. Zionist)))","🚨ANTISEMITE ALERT 🚨  🚨DR HANAN ASWARI: ANTISEMITE, INCITER &amp; LIAR🚨  On her website Ashwari penned a classic blood libel: Jews use blood to make matzah at Pesach!  Ashwari hates truth &amp; Jews, which is why she blocks people like me who call out her Jew hate.  P A L L Y W O O D!","2020-10-26","[]","[]","[]"
1320788297149415424,"https://twitter.com/a_zionist/status/1320788297149415424","@a_zionist","","Twitter Handle","Twitter Journalists","","","(((A. Zionist)))","Latest Libel: IDF Troops Bludgeoned Palestinian Youth Amer Snobar To Death (Updated)  https://t.co/Xji4taV7BE","2020-10-26","[]","[]","['https://www.israellycool.com/2020/10/25/latest-libel-idf-troops-bludgeoned-palestinian-youth-amer-snobar-to-death/']"
